State,1951,1961,1971,1981,1991,2001
Orissa,Ganjam,Ganjam,Ganjam,Ganjam,Ganjam,Baudh
Orissa,Ganjam,Ganjam,Ganjam,Ganjam,Ganjam,Ganjam
Orissa,Sundargarh,Sundargarh,Sundargarh,Sundargarh,Sundargarh,Sundargarh
Orissa,Dhenkanal,Dhenkanal,Dhenkanal,Dhenkanal,Dhenkanal,Dhenkanal
Orissa,Dhenkanal,Dhenkanal,Dhenkanal,Dhenkanal,Dhenkanal,Anugul
Orissa,Puri,Puri,Puri,Puri,Puri,Puri
Orissa,Puri,Puri,Puri,Puri,Puri,Nayagarh
Orissa,Puri,Puri,Puri,Puri,Puri,Khordha
Orissa,Keonjhar,Keonjhar,Keonjhar,Keonjhar,Keonjhar,Keonjhar
Orissa,Cuttack,Cuttack,Cuttack,Cuttack,Cuttack,Cuttack
Orissa,Cuttack,Cuttack,Cuttack,Cuttack,Cuttack,Kendrapara
Orissa,Cuttack,Cuttack,Cuttack,Cuttack,Cuttack,Jagatsinghapur
Orissa,Cuttack,Cuttack,Cuttack,Cuttack,Cuttack,Jajapur
Orissa,Mayurbhanj,Mayurbhanj,Mayurbhanj,Mayurbhanj,Mayurbhanj,Mayurbhanj
Orissa,Balasore,Balasore,Balasore,Baleshwar,Baleshwar,Baleshwar
Orissa,Balasore,Balasore,Balasore,Baleshwar,Baleshwar,Bhadrak
Pondicherry,FRENCH,Pondicherry,Pondicherry,Pondicherry,Pondicherry,Pondicherry
Pondicherry,FRENCH,Pondicherry,Pondicherry,Pondicherry,Pondicherry,Pondicherry
Pondicherry,FRENCH,Karaikal,Karaikal,Karaikal,Karaikal,Karaikal
Pondicherry,FRENCH,Maha,Maha,Maha,Maha,Maha
Pondicherry,FRENCH,Yanam,Yanam,Yanam,Yanam,Yanam
Pondicherry,FRENCH,Yanam,Yanam,Yanam,Yanam,Yanam
Punjab,Gurdaspur,Gurdaspur,Gurdaspur,Gurdaspur,Gurdaspur,Gurdaspur
Punjab,Amritsar,Amritsar,Amritsar,Amritsar,Amritsar,Amritsar
Punjab,Ferozepur,Ferozepur,Ferozepur,Firozpur,Firozpur,Firozpur
Punjab,Ferozepur,Ferozepur,Ferozepur,Firozpur,Firozpur,Moga
Punjab,Ferozepur,Ferozepur,Ferozepur,Faridkot,Faridkot,Faridkot
Punjab,Ferozepur,Ferozepur,Ferozepur,Faridkot,Faridkot,Muktsar
Punjab,Ferozepur,Ferozepur,Ferozepur,Faridkot,Faridkot,Moga
Punjab,Ludhiana,Ludhiana,Ludhiana,Ludhiana,Ludhiana,Ludhiana
Punjab,Ludhiana,Ludhiana,Ludhiana,Ludhiana,Ludhiana,Fatehgarh Sahib
Punjab,Jullundur,Jullundur,Jullundur,Jullundur,Jullundur,Jalandhar
Punjab,Jullundur,Jullundur,Jullundur,Jullundur,Jullundur,Nawanshahr
Punjab,Kapurthala,Kapurthala,Kapurthala,Kapurthala,Kapurthala,Kapurthala
Punjab,Hoshiarpur,Hoshiarpur,Hoshiarpur,Hoshiarpur,Hoshiarpur,Hoshiarpur
Punjab,Hoshiarpur,Hoshiarpur,Hoshiarpur,Hoshiarpur,Hoshiarpur,Nawanshahr
Punjab,Bhatinda,Bhatinda,Bhatinda,Bhatinda,Bhatinda,Bhatinda
Punjab,Bhatinda,Bhatinda,Bhatinda,Bhatinda,Bhatinda,Mansa
Punjab,Bhatinda,Bhatinda,Bhatinda,Faridkot,NA,NA
Punjab,Sangrur,Sangrur,Sangrur,Sangrur,Sangrur,Sangrur
Punjab,Sangrur,Sangrur,Jind,NA,NA,NA
Punjab,Patiala,Patiala,Patiala,Patiala,Patiala,Patiala
Punjab,Patiala,Patiala,Fatehgarh Sahib,Fatehgarh Sahib,Fatehgarh Sahib,Fatehgarh Sahib
Punjab,Patiala,Patiala,Ropar,Rupnagar,Rupnagar,Rupnagar
Punjab,Patiala,Patiala,Chandigarh,Chandigarh,Chandigarh,Chandigarh
Punjab,Patiala,Patiala,Chandigarh,Chandigarh,Chandigarh,Chandigarh
Punjab,Patiala,Patiala,Haryana,Haryana,Haryana,Haryana
Punjab,Ambala,Ambala,Ambala,Ambala,Ambala,Ambala
Punjab,Ambala,Ambala,Ambala,Ambala,Ambala,Panchkula
Punjab,Ambala,Ambala,Ambala,Ambala,Yamunanagar,Yamunanagar
Punjab,Hissar,Hissar,Hissar,Hisar,Hisar,Hisar
Punjab,Hissar,Hissar,Hissar,Hissar,Hissar,Fatehgarh
Punjab,Hissar,Hissar,Hissar,Bhiwani,Bhiwani,Bhiwani
Punjab,Hissar,Hissar,Hissar,Sirsa,Sirsa,Sirsa
Punjab,Rohtak,Rohtak,Rohtak,Rohtak,Rohtak,Rohtak
Punjab,Rohtak,Rohtak,Rohtak,Rohtak,Rohtak,Jhajjar
Punjab,Rohtak,Rohtak,Rohtak,Sonipat,Sonipat,Sonipat
Punjab,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Gurgaon,Gurgaon
Punjab,Gurgaon,Gurgaon,Gurgaon,Faridabad,Faridabad,Faridabad
Punjab,Karnal,Karnal,Karnal,Karnal,Karnal,Karnal
Punjab,Karnal,Karnal,Karnal,Karnal,Panipat,Panipat
Punjab,Karnal,Karnal,Karnal,Kurukshetra,Kurukshetra,Kurukshetra
Punjab,Karnal,Karnal,Karnal,Karnal,Kaithal,Kaithal
Punjab,Mohindergarh,Mahendragarh,Mahendragarh,Mahendragarh,Mahendragarh,Mahendragarh
Punjab,Mohindergarh,Mahendragarh,Mahendragarh,Mahendragarh,Rewari,Rewari
Punjab,Mohindergarh,Mahendragarh,Jind,Jind,Jind,Jind
Punjab,Simla,Simla,NA,NA,NA,NA
Punjab,Kangra,Kangra,NA,NA,NA,NA
Punjab,Kangra,Kangra,NA,NA,NA,NA
Punjab,Kangra,Lahaul And Spiti,NA,NA,NA,NA
Rajasthan,Ganganagar,Ganganagar,Ganganagar,Ganganagar,Ganganagar,Ganganagar
Rajasthan,Ganganagar,Ganganagar,Ganganagar,Ganganagar,Ganganagar,Hanumangart
Rajasthan,Bikaner,Bikaner,Bikaner,Bikaner,Bikaner,Bikaner
Rajasthan,Churu,Churu,Churu,Churu,Churu,Churu
Rajasthan,Jhunjhunu,Jhunjhunu,Jhunjhunu,Jhunjhunu,Jhunjhunu,Jhunjhunu
Rajasthan,Alwar,Alwar,Alwar,Alwar,Alwar,Alwar
Rajasthan,Bharatpur,Bharatpur,Bharatpur,Bharatpur,Bharatpur,Bharatpur
Rajasthan,Bharatpur,Bharatpur,Bharatpur,Bharatpur,Dhaulpur,Dhaulpur
Rajasthan,Swai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur
Rajasthan,Swai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Sawai Madhopur,Karauli
Rajasthan,Jaipur,Jaipur,Jaipur,Jaipur,Jaipur,Jaipur
Rajasthan,Jaipur,Jaipur,Jaipur,Jaipur,Jaipur,Dausa
Rajasthan,Sikar,Sikar,Sikar,Sikar,Sikar,Sikar
Rajasthan,Ajmer,Ajmer,Ajmer,Ajmer,Ajmer,Ajmer
Rajasthan,Tonk,Tonk,Tonk,Tonk,Tonk,Tonk
Rajasthan,Jaisalmer,Jaisalmer,Jaisalmer,Jaisalmer,Jaisalmer,Jaisalmer
Rajasthan,Jodhpur,Jodhpur,Jodhpur,Jodhpur,Jodhpur,Jodhpur
Rajasthan,Nagaur,Nagaur,Nagaur,Nagaur,Nagaur,Nagaur
Rajasthan,Pali,Pali,Pali,Pali,Pali,Pali
Rajasthan,Barmer,Barmer,Barmer,Barmer,Barmer,Barmer
Rajasthan,Jalore,Jalor,Jalor,Jalor,Jalor,Jalor
Rajasthan,Sirohi,Sirohi,Sirohi,Sirohi,Sirohi,Sirohi
Rajasthan,Bhilwara,Bhilwara,Bhilwara,Bhilwara,Bhilwara,Bhilwara
Rajasthan,Udaipur,Udaipur,Udaipur,Udaipur,Udaipur,Udaipur
Rajasthan,Udaipur,Udaipur,Udaipur,Udaipur,Udaipur,Rajsamand
Rajasthan,Chittorgarh,Chitorgarh,Chitorgarh,Chitorgarh,Chitorgarh,Chitorgarh
Rajasthan,Dungarpur,Dungarpur,Dungarpur,Dungarpur,Dungarpur,Dungarpur
Rajasthan,Banswara,Banswara,Banswara,Banswara,Banswara,Banswara
Rajasthan,Bundi,Bundi,Bundi,Bundi,Bundi,Bundi
Rajasthan,Kotah,Kota,Kota,Kota,Kota,Kota
Rajasthan,Kotah,Kota,Kota,Kota,Kota,Baran
Sikkim,Sikkim,Sikkim,Sikkim,East District,East District,East
Sikkim,Sikkim,Sikkim,Sikkim,North District,North District,North
Sikkim,Sikkim,Sikkim,Sikkim,South District,South District,South
Sikkim,Sikkim,Sikkim,Sikkim,West District,West District,West
Tripura,Tripura,Tripura,West Tripura,West Tripura,West Tripura,West Tripura
Tripura,Tripura,Tripura,North Tripura,North Tripura,North Tripura,North Tripura
Tripura,Tripura,Tripura,Tripura,Tripura,Tripura,Dhalai
Tripura,Tripura,Tripura,South Tripura,South Tripura,South Tripura,South Tripura
Uttar Pradesh,Bijnor,Bijnor,Bijnor,Bijnor,Bijnor,Bijnor
Uttar Pradesh,Moradabad,Moradabad,Moradabad,Moradabad,Moradabad,Moradabad
Uttar Pradesh,Moradabad,Moradabad,Moradabad,Moradabad,Moradabad,Jyotiba Phule Nagar
Uttar Pradesh,Bijnor,Bijnor,Bijnor,Bijnor,Bijnor,Bijnor
Uttar Pradesh,Moradabad,Moradabad,Moradabad,Moradabad,Moradabad,Moradabad
Uttar Pradesh,Moradabad,Moradabad,Moradabad,Moradabad,Moradabad,Jyotiba Phule Nagar
Uttar Pradesh,Budaun,Budaun,Budaun,Budaun,Budaun,Budaun
Uttar Pradesh,Rampur,Rampur,Rampur,Rampur,Rampur,Rampur
Uttar Pradesh,Bareilly,Bareilly,Bareilly,Bareilly,Bareilly,Bareilly
Uttar Pradesh,Pilibhit,Pilibhit,Pilibhit,Pilibhit,Pilibhit,Pilibhit
Uttar Pradesh,Shahjahanpur,Shahjahanpur,Shahjahanpur,Shahjahanpur,Shahjahanpur,Shahjahanpur
Uttar Pradesh,Saharanpur,Saharanpur,Saharanpur,Saharanpur,Saharanpur,Saharanpur
Uttar Pradesh,Saharanpur,Saharanpur,Saharanpur,Saharanpur,Hardwar,NA
Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,Muzaffarnagar,Muzaffarnagar,Muzaffarnagar,Muzaffarnagar
Uttar Pradesh,Meerut,Meerut,Meerut,Meerut,Meerut,Meerut
Uttar Pradesh,Meerut,Meerut,Meerut,Meerut,Meerut,Baghpat
Uttar Pradesh,Meerut,Meerut,Meerut,Ghaziabad,Ghaziabad,Ghaziabad
Uttar Pradesh,Meerut,Meerut,Meerut,Ghaziabad,Ghaziabad,Gautam Buddha Nagar
Uttar Pradesh,Bulandshahr,Bulandshahr,Bulandshahr,Bulandshahr,Bulandshahr,Bulandshahr
Uttar Pradesh,Bulandshahr,Bulandshahr,Bulandshahr,Bulandshahr,Bulandshahr,Gautam Buddha Nagar
Uttar Pradesh,Bulandshahr,Bulandshahr,Bulandshahr,Ghaziabad,Ghaziabad,NA
Uttar Pradesh,Aligarh,Aligarh,Aligarh,Aligarh,Aligarh,Aligarh
Uttar Pradesh,Aligarh,Aligarh,Aligarh,Aligarh,Aligarh,Hathras
Uttar Pradesh,Mathura,Mathura,Mathura,Mathura,Mathura,Mathura
Uttar Pradesh,Mathura,Mathura,Mathura,Mathura,Mathura,Hathras
Uttar Pradesh,Agra,Agra,Agra,Agra,Agra,Agra
Uttar Pradesh,Etah,Etah,Etah,Etah,Etah,Etah
Uttar Pradesh,Mainpuri,Mainpuri,Mainpuri,Mainpuri,Mainpuri,Mainpuri
Uttar Pradesh,Mainpuri,Mainpuri,Mainpuri,Mainpuri,Firozabad,Firozabad
Uttar Pradesh,Farrukhabad,Farrukhabad,Farrukhabad,Farrukhabad,Farrukhabad,Farrukhabad
Uttar Pradesh,Farrukhabad,Farrukhabad,Farrukhabad,Farrukhabad,Farrukhabad,Kannauj
Uttar Pradesh,Etawah,Etawah,Etawah,Etawah,Etawah,Etawah
Uttar Pradesh,Etawah,Etawah,Etawah,Etawah,Etawah,Auraiya
Uttar Pradesh,Kanpur,Kanpur,Kanpur,Kanpur,Kanpur Nagar,Kanpur Nagar
Uttar Pradesh,Kanpur,Kanpur,Kanpur,Kanpur,Kanpur Dehat,Kanpur Dehat
Uttar Pradesh,Fatehpur,Fatehpur,Fatehpur,Fatehpur,Fatehpur,Fatehpur
Uttar Pradesh,Allahabad,Allahabad,Allahabad,Allahabad,Allahabad,Allahabad
Uttar Pradesh,Allahabad,Allahabad,Allahabad,Allahabad,Allahabad,Kaushambi
Uttar Pradesh,Jhansi,Jhansi,Jhansi,Jhansi,Jhansi,Jhansi
Uttar Pradesh,Jhansi,Jhansi,Jhansi,Lalitpur,Lalitpur,Lalitpur
Uttar Pradesh,Jalaun,Jalaun,Jalaun,Jalaun,Jalaun,Jalaun
Uttar Pradesh,Hamirpur,Hamirpur,Hamirpur,Hamirpur,Hamirpur,Hamirpur
Uttar Pradesh,Hamirpur,Hamirpur,Hamirpur,Hamirpur,Hamirpur,Mahoba
Uttar Pradesh,Banda,Banda,Banda,Banda,Banda,Banda
Uttar Pradesh,Banda,Banda,Banda,Banda,Banda,Chitrakoot
Uttar Pradesh,Kheri,Kheri,Kheri,Kheri,Kheri,Kheri
Uttar Pradesh,Sitapur,Sitapur,Sitapur,Sitapur,Sitapur,Sitapur
Uttar Pradesh,Hardoi,Hardoi,Hardoi,Hardoi,Hardoi,Hardoi
Uttar Pradesh,Unnao,Unnao,Unnao,Unnao,Unnao,Hardoi
Uttar Pradesh,Lucknow,Lucknow,Lucknow,Lucknow,Lucknow,Lucknow
Uttar Pradesh,Rae Bareli,Rae Bareli,Rae Bareli,Rae Bareli,Rae Bareli,Rae Bareli
Uttar Pradesh,Bahraich,Bahraich,Bahraich,Bahraich,Bahraich,Bahraich
Uttar Pradesh,Bahraich,Bahraich,Bahraich,Bahraich,Bahraich,Shrawasti
Uttar Pradesh,Gonda,Gonda,Gonda,Gonda,Gonda,Gonda
Uttar Pradesh,Gonda,Gonda,Gonda,Gonda,Gonda,Balrampur
Uttar Pradesh,Bara Banki,Bara Banki,Bara Banki,Bara Banki,Bara Banki,Bara Banki
Uttar Pradesh,Faizabad,Faizabad,Faizabad,Faizabad,Faizabad,Faizabad
Uttar Pradesh,Faizabad,Faizabad,Faizabad,Faizabad,Faizabad,Ambedkar Nagar
Uttar Pradesh,Sultanpur,Sultanpur,Sultanpur,Sultanpur,Sultanpur,Sultanpur
Uttar Pradesh,Pratapgarh,Pratapgarh,Pratapgarh,Pratapgarh,Pratapgarh,Pratapgarh
Uttar Pradesh,Basti,Basti,Basti,Basti,Basti,Basti
Uttar Pradesh,Basti,Basti,Basti,Basti,Basti,Sant Kabir Nagar
Uttar Pradesh,Basti,Basti,Basti,Basti,Siddharthnagar,Siddharthngar
Uttar Pradesh,Basti,Basti,Basti,Basti,Siddharthnagar,Sant Kabir Nagar
Uttar Pradesh,Gorakhpur,Gorakhpur,Gorakhpur,Gorakhpur,Gorakhpur,Gorakhpur
Uttar Pradesh,Gorakhpur,Gorakhpur,Gorakhpur,Gorakhpur,Maharajgani,Maharajgani
Uttar Pradesh,Deoria,Deoria,Deoria,Deoria,Deoria,Deoria
Uttar Pradesh,Deoria,Deoria,Deoria,Deoria,Deoria,Kushinagar
Uttar Pradesh,Azamgarh,Azamgarh,Azamgarh,Azamgarh,Azamgarh,Azamgarh
Uttar Pradesh,Azamgarh,Azamgarh,Azamgarh,Azamgarh,Azamgarh,Ambedkar Nagar
Uttar Pradesh,Azamgarh,Azamgarh,Azamgarh,Azamgarh,Mau,Mau
Uttar Pradesh,Jaunpur,Jaunpur,Jaunpur,Jaunpur,Jaunpur,Jaunpur
Uttar Pradesh,Ballia,Ballia,Ballia,Ballia,Ballia,Ballia
Uttar Pradesh,Ghazipur,Ghazipur,Ghazipur,Ghazipur,Ghazipur,Ghazipur
Uttar Pradesh,Banares,Varanasi,Varanasi,Varanasi,Varanasi,Varanasi
Uttar Pradesh,Banares,Varanasi,Varanasi,Varanasi,Varanasi,Chandauli
Uttar Pradesh,Banares,Varanasi,Varanasi,Varanasi,Varanasi,Sant Ravidas Nagar
Uttar Pradesh,Mirzapur,Mirzapur,Mirzapur,Mirzapur,Mirzapur,Mirzapur
Uttar Pradesh,Mirzapur,Mirzapur,Mirzapur,Mirzapur,Sonbhadra,Sonbhadra
Uttaranchal,Tehri Garhwal,Uttar Kashi,Uttar Kashi,Uttar Kashi,Uttar Kashi,Uttar Kashi
Uttaranchal,Garhwal,Chamoli,Chamoli,Chamoli,Chamoli,Chamoli
Uttaranchal,Garhwal,Chamoli,Chamoli,Chamoli,Chamoli,Rudraprayag
Uttaranchal,Almora,Pithoragarh,Pithoragarh,Pithoragarh,Pithoragarh,Pithoragarh
Uttaranchal,Almora,Pithoragarh,Pithoragarh,Pithoragarh,Pithoragarh,Champawat
Uttaranchal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal
Uttaranchal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,Tehri Garhwal,Rudraprayag
Uttaranchal,Garhwal,Garhwal,Garhwal,Garhwal,Garhwal,Garhwal
Uttaranchal,Garhwal,Garhwal,Garhwal,Garhwal,Garhwal,Rudraprayag
Uttaranchal,Almora,Almora,Almora,Almora,Almora,Almora
Uttaranchal,Almora,Almora,Almora,Almora,Almora,Bageshwar
Uttaranchal,Naini Tal,Naini Tal,Naini Tal,Naini Tal,Naini Tal,Nainital
Uttaranchal,Naini Tal,Naini Tal,Naini Tal,Naini Tal,Naini Tal,Udham Singh Nagar
Uttaranchal,Naini Tal,Naini Tal,Naini Tal,Naini Tal,Naini Tal,Champawat
Uttaranchal,Dehra Dun,Dehra Dun,Dehra Dun,Dehra Dun,Dehra Dun,NA
West Bengal,Darjeeling,Darjeeling,Darjeeling,Darjeeling,Darjeeling,Darjeeling
West Bengal,Jalpaiguri,Jalpaiguri,Jalpaiguri,Jalpaiguri,Jalpaiguri,Jalpaiguri
West Bengal,Cooch Behar,Cooch Behar,Cooch Behar,Cooch Behar,Cooch Behar,Cooch Behar
West Bengal,West Dinajpur,West Dinajpur,West Dinajpur,West Dinajpur,West Dinajpur,Uttar Dinajpur
West Bengal,West Dinajpur,West Dinajpur,West Dinajpur,West Dinajpur,West Dinajpur,Dakshin Dinajpur
West Bengal,Malda,Malda,Malda,Malda,Malda,Malda
West Bengal,Murshidabad,Murshidabad,Murshidabad,Murshidabad,Murshidabad,Murshidabad
West Bengal,Nadia,Nadia,Nadia,Nadia,Nadia,Nadia
West Bengal,24 - Parganas,24 - Parganas,24 - Parganas,24 - Parganas,South Twenty Four Parganas,South Twenty Four Parganas
West Bengal,24 - Parganas,24 - Parganas,24 - Parganas,24 - Parganas,North Twenty Four Parganas,North Twenty Four Parganas
West Bengal,Calcutta,Calcutta,Calcutta,Calcutta,Calcutta,Calcutta
West Bengal,Howrah,Howrah,Howrah,Howrah,Howrah,Howrah
West Bengal,Hooghly,Hooghly,Hooghly,Hooghly,Hooghly,Hooghly
West Bengal,Burdwan,Burdwan,Burdwan,Burdwan,Burdwan,Burdwan
West Bengal,Birbhum,Birbhum,Birbhum,Birbhum,Birbhum,Birbhum
West Bengal,Bankura,Bankura,Bankura,Bankura,Bankura,Bankura
West Bengal,Midnapur,Midnapore,Midnapore,Midnapore,Midnapore,Midnapore
West Bengal,Purulia,Puralia,Puralia,Puralia,Puralia,Puralia